tensor(3.4202, grad_fn=<NllLoss2DBackward>)
tensor(3.2068, grad_fn=<NllLoss2DBackward>)
tensor(3.2993, grad_fn=<NllLoss2DBackward>)
tensor(2.5791, grad_fn=<NllLoss2DBackward>)
tensor(3.2123, grad_fn=<NllLoss2DBackward>)
tensor(2.9645, grad_fn=<NllLoss2DBackward>)
tensor(3.7865, grad_fn=<NllLoss2DBackward>)
tensor(3.3063, grad_fn=<NllLoss2DBackward>)
tensor(3.5578, grad_fn=<NllLoss2DBackward>)
tensor(3.3568, grad_fn=<NllLoss2DBackward>)
tensor(3.0848, grad_fn=<NllLoss2DBackward>)
tensor(3.3616, grad_fn=<NllLoss2DBackward>)
tensor(3.1741, grad_fn=<NllLoss2DBackward>)
tensor(2.8455, grad_fn=<NllLoss2DBackward>)
tensor(3.5287, grad_fn=<NllLoss2DBackward>)
tensor(3.1588, grad_fn=<NllLoss2DBackward>)
tensor(3.2697, grad_fn=<NllLoss2DBackward>)
tensor(2.9323, grad_fn=<NllLoss2DBackward>)
tensor(4.1755, grad_fn=<NllLoss2DBackward>)
tensor(2.9087, grad_fn=<NllLoss2DBackward>)
tensor(3.2846, grad_fn=<NllLoss2DBackward>)
tensor(2.3399, grad_fn=<NllLoss2DBackward>)
tensor(3.2133, grad_fn=<NllLoss2DBackward>)
tensor(3.4546, grad_fn=<NllLoss2DBackward>)
tensor(4.2592, grad_fn=<NllLoss2DBackward>)
tensor(2.5654, grad_fn=<NllLoss2DBackward>)
tensor(2.6939, grad_fn=<NllLoss2DBackward>)
tensor(3.6232, grad_fn=<NllLoss2DBackward>)
tensor(3.0960, grad_fn=<NllLoss2DBackward>)
tensor(2.7904, grad_fn=<NllLoss2DBackward>)
tensor(2.8875, grad_fn=<NllLoss2DBackward>)
tensor(3.8465, grad_fn=<NllLoss2DBackward>)
tensor(3.5344, grad_fn=<NllLoss2DBackward>)
tensor(3.6242, grad_fn=<NllLoss2DBackward>)
tensor(1.9974, grad_fn=<NllLoss2DBackward>)
tensor(3.2401, grad_fn=<NllLoss2DBackward>)
tensor(3.1730, grad_fn=<NllLoss2DBackward>)
tensor(2.9046, grad_fn=<NllLoss2DBackward>)
tensor(3.4416, grad_fn=<NllLoss2DBackward>)
tensor(3.3947, grad_fn=<NllLoss2DBackward>)
tensor(2.9521, grad_fn=<NllLoss2DBackward>)
tensor(2.8046, grad_fn=<NllLoss2DBackward>)
tensor(3.3739, grad_fn=<NllLoss2DBackward>)
tensor(3.3457, grad_fn=<NllLoss2DBackward>)
tensor(2.9810, grad_fn=<NllLoss2DBackward>)
tensor(3.2286, grad_fn=<NllLoss2DBackward>)
tensor(3.1847, grad_fn=<NllLoss2DBackward>)
tensor(3.4600, grad_fn=<NllLoss2DBackward>)
tensor(2.7330, grad_fn=<NllLoss2DBackward>)
tensor(3.2076, grad_fn=<NllLoss2DBackward>)
tensor(3.1479, grad_fn=<NllLoss2DBackward>)
tensor(2.8490, grad_fn=<NllLoss2DBackward>)
tensor(3.1899, grad_fn=<NllLoss2DBackward>)
tensor(3.0858, grad_fn=<NllLoss2DBackward>)
tensor(3.0713, grad_fn=<NllLoss2DBackward>)
tensor(3.2887, grad_fn=<NllLoss2DBackward>)
tensor(3.1430, grad_fn=<NllLoss2DBackward>)
tensor(3.0291, grad_fn=<NllLoss2DBackward>)
tensor(2.2726, grad_fn=<NllLoss2DBackward>)
tensor(3.0061, grad_fn=<NllLoss2DBackward>)
tensor(2.7750, grad_fn=<NllLoss2DBackward>)
tensor(3.2111, grad_fn=<NllLoss2DBackward>)
tensor(2.7489, grad_fn=<NllLoss2DBackward>)
tensor(3.3376, grad_fn=<NllLoss2DBackward>)
tensor(2.2261, grad_fn=<NllLoss2DBackward>)
tensor(3.0815, grad_fn=<NllLoss2DBackward>)
tensor(1.9214, grad_fn=<NllLoss2DBackward>)
tensor(3.2857, grad_fn=<NllLoss2DBackward>)
tensor(2.8064, grad_fn=<NllLoss2DBackward>)
tensor(2.4950, grad_fn=<NllLoss2DBackward>)
tensor(2.7878, grad_fn=<NllLoss2DBackward>)
tensor(2.7310, grad_fn=<NllLoss2DBackward>)
tensor(3.1181, grad_fn=<NllLoss2DBackward>)
tensor(2.9523, grad_fn=<NllLoss2DBackward>)
tensor(3.2126, grad_fn=<NllLoss2DBackward>)
tensor(3.1690, grad_fn=<NllLoss2DBackward>)
tensor(2.7241, grad_fn=<NllLoss2DBackward>)
tensor(3.3599, grad_fn=<NllLoss2DBackward>)
tensor(3.3566, grad_fn=<NllLoss2DBackward>)
tensor(3.1859, grad_fn=<NllLoss2DBackward>)
tensor(3.3158, grad_fn=<NllLoss2DBackward>)
tensor(3.5262, grad_fn=<NllLoss2DBackward>)
tensor(3.1263, grad_fn=<NllLoss2DBackward>)
tensor(3.2223, grad_fn=<NllLoss2DBackward>)
tensor(2.8884, grad_fn=<NllLoss2DBackward>)
tensor(3.5578, grad_fn=<NllLoss2DBackward>)
tensor(2.7837, grad_fn=<NllLoss2DBackward>)
tensor(2.9838, grad_fn=<NllLoss2DBackward>)
tensor(3.9656, grad_fn=<NllLoss2DBackward>)
tensor(3.1566, grad_fn=<NllLoss2DBackward>)
tensor(3.0321, grad_fn=<NllLoss2DBackward>)
tensor(2.9983, grad_fn=<NllLoss2DBackward>)
tensor(3.0244, grad_fn=<NllLoss2DBackward>)
tensor(3.0641, grad_fn=<NllLoss2DBackward>)
tensor(2.9240, grad_fn=<NllLoss2DBackward>)
tensor(3.7369, grad_fn=<NllLoss2DBackward>)
tensor(3.2024, grad_fn=<NllLoss2DBackward>)
tensor(3.1584, grad_fn=<NllLoss2DBackward>)
tensor(3.6313, grad_fn=<NllLoss2DBackward>)
tensor(2.9056, grad_fn=<NllLoss2DBackward>)
tensor(2.9512, grad_fn=<NllLoss2DBackward>)
tensor(3.5412, grad_fn=<NllLoss2DBackward>)
tensor(3.6550, grad_fn=<NllLoss2DBackward>)
tensor(3.3235, grad_fn=<NllLoss2DBackward>)
tensor(3.1484, grad_fn=<NllLoss2DBackward>)
tensor(3.2937, grad_fn=<NllLoss2DBackward>)
tensor(3.5526, grad_fn=<NllLoss2DBackward>)
tensor(3.3135, grad_fn=<NllLoss2DBackward>)
tensor(3.1635, grad_fn=<NllLoss2DBackward>)
tensor(2.4816, grad_fn=<NllLoss2DBackward>)
tensor(3.4673, grad_fn=<NllLoss2DBackward>)
tensor(3.1071, grad_fn=<NllLoss2DBackward>)
tensor(2.8913, grad_fn=<NllLoss2DBackward>)
tensor(3.1155, grad_fn=<NllLoss2DBackward>)
tensor(4.2767, grad_fn=<NllLoss2DBackward>)
tensor(2.5955, grad_fn=<NllLoss2DBackward>)
tensor(2.8982, grad_fn=<NllLoss2DBackward>)
tensor(3.1489, grad_fn=<NllLoss2DBackward>)
tensor(3.7488, grad_fn=<NllLoss2DBackward>)
tensor(3.3731, grad_fn=<NllLoss2DBackward>)
tensor(3.9429, grad_fn=<NllLoss2DBackward>)
tensor(3.4460, grad_fn=<NllLoss2DBackward>)
tensor(2.9891, grad_fn=<NllLoss2DBackward>)
tensor(2.7589, grad_fn=<NllLoss2DBackward>)
tensor(2.9155, grad_fn=<NllLoss2DBackward>)
tensor(3.7335, grad_fn=<NllLoss2DBackward>)
tensor(3.6192, grad_fn=<NllLoss2DBackward>)
tensor(3.7574, grad_fn=<NllLoss2DBackward>)
tensor(3.2963, grad_fn=<NllLoss2DBackward>)
tensor(3.3939, grad_fn=<NllLoss2DBackward>)
tensor(3.1755, grad_fn=<NllLoss2DBackward>)
tensor(2.7407, grad_fn=<NllLoss2DBackward>)
tensor(2.5484, grad_fn=<NllLoss2DBackward>)
tensor(2.5599, grad_fn=<NllLoss2DBackward>)
tensor(2.9838, grad_fn=<NllLoss2DBackward>)
tensor(3.2221, grad_fn=<NllLoss2DBackward>)
tensor(3.5610, grad_fn=<NllLoss2DBackward>)
tensor(2.9338, grad_fn=<NllLoss2DBackward>)
tensor(3.5317, grad_fn=<NllLoss2DBackward>)
tensor(3.1783, grad_fn=<NllLoss2DBackward>)
tensor(3.2969, grad_fn=<NllLoss2DBackward>)
tensor(3.1203, grad_fn=<NllLoss2DBackward>)
tensor(3.6172, grad_fn=<NllLoss2DBackward>)
